StateName,DistrictName,subdistname,villagename,locality_detail1,locality_detail2,locality_detail3,OfficeName,Pincode,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Awasari Bk.,All Localities,NA,NA,Avasari BK S.O,412406,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Awasari Kh,All Localities,NA,NA,Avsari KH S.O,412405,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Dhamani,All Localities,NA,NA,Dhamani S.O,410508,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Dimbhe Bk.,All Localities,NA,NA,Dimbhe Colony S.O,410509,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Ghodegaon,All Localities,NA,NA,Ghodegaon S.O (Pune),412408,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Kalamb,All Localities,NA,NA,Kalamb S.O (Pune),410515,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Loni,All Localities,NA,NA,Loni Dhamani S.O,410510,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Manchar,All Localities,NA,NA,Manchar S.O,410503,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Peth,All Localities,NA,NA,Peth S.O (Pune),410512,,,,,,,,,,,
MAHARASHTRA,PUNE,Ambegaon,Shinoli,All Localities,NA,NA,Shinoli S.O,410516,,,,,,,,,,,
MAHARASHTRA,PUNE,Baramati,Baramati,Utkarshnagar,NA,NA,Baramati MIDC S.O,413133,,,,,,,,,,,
MAHARASHTRA,PUNE,Baramati,Baramati,R T O Office,NA,NA,Baramati MIDC S.O,413133,,,,,,,,,,,
MAHARASHTRA,PUNE,Baramati,Baramati,Sanghavinagar,NA,NA,Baramati MIDC S.O,413133,,,,,,,,,,,
MAHARASHTRA,PUNE,Baramati,Baramati,Sayali Complex,NA,NA,Baramati MIDC S.O,413133,,,,,,,,,,,
